,level_0,movie,year,time,certificate,genre,rating,story,votes,cast,link,index,genres_bin,director,director_bin,cast_bin,words_bin,combined_features
0,983,Secret,,,U,"['Romance', 'Thriller']",,"['What', 'happens', 'when', 'married', 'men', 'cannot', 'resist', 'temptation', '?', 'What', 'happens', 'when', 'smart', 'phones', 'become', 'affair', 'facilitating', 'devices?', 'What', 'happens', 'when', 'a', 'wife', 'enters', 'her', ""husband's"", 'cellphone?']",,"KainaatArora,MeeraChopra,RamGopalVarma,TiscaChopra",https://www.imdb.com/title/tt4830808/,983,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",RamGopalVarma,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","What happens when married men cannot resist temptation ? What happens when smart phones become affair facilitating devices? What happens when a wife enters her husband s cellphone? KainaatArora,MeeraChopra,RamGopalVarma,TiscaChopra U Romance Thriller "
1,3238,Mayadari Malligadu,,122 min,U,['Drama'],,"['Add', 'a', 'Plot']",,"Ali,Hanuman,Namratha,SudheerBabuPosani",https://www.imdb.com/title/tt11137842/,3238,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Hanuman,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot Ali,Hanuman,Namratha,SudheerBabuPosani U Drama "
2,5224,Ok,,,U,['Thriller'],,"['Add', 'a', 'Plot']",,"AsmitaSood,DishaPandey,Praveen,Tanish",https://www.imdb.com/title/tt8302374/,5224,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Praveen,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot AsmitaSood,DishaPandey,Praveen,Tanish U Thriller "
3,3178,Pandagala Vachadu,,,U,"['Drama', 'Thriller', 'Action', 'Comedy', 'Romance', 'Family']",,"['Add', 'a', 'Plot']",,"KarthikeyaPrasad,NaraRohith,NeelamUpadhyaya",https://www.imdb.com/title/tt7943306/,3178,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",KarthikeyaPrasad,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot KarthikeyaPrasad,NaraRohith,NeelamUpadhyaya U Drama Thriller Action Comedy Romance Family "
4,4893,Made in India,,,U,"['Drama', 'Music', 'Thriller']",,"['Add', 'a', 'Plot']",,"PrithviDheerajReddy,RishiAarumilli,SuryaNandan",https://www.imdb.com/title/tt8809368/,4893,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",RishiAarumilli,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot PrithviDheerajReddy,RishiAarumilli,SuryaNandan U Drama Music Thriller "
5,224,Indian 2,,,U,"['Action', 'Drama', 'Thriller']",,"['A', 'hero', 'eliminates', 'corruption', 'from', 'the', 'system', 'by', 'killing', 'the', 'corrupt', 'bureaucrats.']",,"KamalHaasan,MarkBennington,RakulPreetSingh,S.Shankar",https://www.imdb.com/title/tt8066940/,224,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",S.Shankar,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","A hero eliminates corruption from the system by killing the corrupt bureaucrats. KamalHaasan,MarkBennington,RakulPreetSingh,S.Shankar U Action Drama Thriller "
6,4550,Intintaa Annamayya,,,U,['Musical'],,"['Add', 'a', 'Plot']",,"Ananya,K.RaghavendraRao,Revanth,SanamShetty",https://www.imdb.com/title/tt3146160/,4550,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",K.RaghavendraRao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot Ananya,K.RaghavendraRao,Revanth,SanamShetty U Musical "
7,4520,Krejiwala,,,U,['Comedy'],,"['Add', 'a', 'Plot']",,"MohanPrasad,NagendraBabu,Narayana,Shafi",https://www.imdb.com/title/tt8302860/,4520,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MohanPrasad,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot MohanPrasad,NagendraBabu,Narayana,Shafi U Comedy "
8,5222,Saagara Theeramlo,,122 min,U,['Drama'],,"['Add', 'a', 'Plot']",,"DharmaRaoJagatha,Dishanth",https://www.imdb.com/title/tt11023676/,5222,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",DharmaRaoJagatha,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot DharmaRaoJagatha,Dishanth U Drama "
9,3067,Bilalpur Police Station,,,U,['Drama'],,"['Add', 'a', 'Plot']",,"MagantiSrinath,NagaSaimakam,R.S.Nanda,SaanveMegghana",https://www.imdb.com/title/tt10370422/,3067,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",NagaSaimakam,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Add a Plot MagantiSrinath,NagaSaimakam,R.S.Nanda,SaanveMegghana U Drama "
